prompt_id,prompt_text,response_text,model,temperature,tokens_used,rating,category,timestamp
32,"Debug: for i in range(10) print(i)","Missing colon after range(10). Correct version: for i in range(10): print(i)",gpt-4,0.2,89,4.7,coding,2026-06-04 11:22:44
33,"Describe winter without mentioning cold","Bare trees reaching skyward, breath visible in air, world wrapped in crystalline silence, days shortened and nights lengthened.",gemini-pro,0.7,123,,creative,2026-06-04 12:08:18
34,"What is overfitting in machine learning?","Overfitting occurs when a model learns training data too well, including noise, resulting in poor performance on new, unseen data.",claude-3,0.5,178,4.6,analysis,2026-06-04 13:15:42
35,"Solve: 2(x + 3) = 18","2(x + 3) = 18, expand: 2x + 6 = 18, subtract 6: 2x = 12, divide by 2: x = 6",gpt-4,0.1,98,4.5,math,2026-06-04 14:30:33
36,"Write Python to find the maximum value in a list","def find_max(lst): return max(lst) # or using loop: max_val = lst[0]; for x in lst: max_val = max(max_val, x); return max_val",gpt-4,0.3,156,4.8,coding,2026-06-04 15:22:15
37,"Create a simile for time","Time flows like a river, constant and unstoppable, carrying us forward whether we paddle or drift.",gemini-pro,0.8,112,4.0,creative,2026-06-04 16:08:44
38,"Explain API in simple terms","An API (Application Programming Interface) is like a restaurant menu: it shows what you can order (available functions) without needing to know how the kitchen (system) works.",claude-3,0.6,189,4.7,analysis,2026-06-05 08:45:27
39,"What is the median of [3, 7, 2, 9, 5]?","First sort: [2, 3, 5, 7, 9]. The median is the middle value: 5",gpt-4,0.1,89,4.4,math,2026-06-05 09:30:18
40,"Create CSS to center a div","Method 1: .container { display: flex; justify-content: center; align-items: center; } Method 2: .box { margin: 0 auto; }",gpt-4,0.2,134,4.9,coding,2026-06-05 10:15:42
41,"Write about the sound of rain","Rain whispers secrets to the earth, a gentle percussion on rooftops, a rhythmic lullaby that soothes and cleanses.",gemini-pro,0.9,98,4.2,creative,2026-06-05 11:22:33
42,"What is the difference between supervised and unsupervised learning?","Supervised learning uses labeled data to train models, while unsupervised learning finds patterns in unlabeled data without explicit guidance.",claude-3,0.4,178,4.8,analysis,2026-06-05 12:08:15
43,"Calculate 7 factorial","7! = 7 × 6 × 5 × 4 × 3 × 2 × 1 = 5,040",gpt-4,0.1,78,,math,2026-06-05 13:15:44
44,"Write a recursive function for Fibonacci","def fibonacci(n): return n if n <= 1 else fibonacci(n-1) + fibonacci(n-2)",gpt-4,0.2,98,4.7,coding,2026-06-05 14:30:27
45,"Describe the concept of infinity","Infinity is endlessness, a horizon that recedes forever, a number larger than any number you can name, the ungraspable eternal.",gemini-pro,0.8,123,3.9,creative,2026-06-05 15:22:18
46,"Explain tokenization in NLP","Tokenization is the process of breaking text into smaller units (tokens) like words or subwords, which are the basic building blocks for NLP models.",claude-3,0.5,167,4.6,analysis,2026-06-05 16:08:33
47,"Find the area of a rectangle with length 8 and width 5","Area = length × width = 8 × 5 = 40 square units",gpt-4,0.1,67,4.5,math,2026-06-06 08:45:15
48,"Debug: def add(a b): return a + b","Missing comma between parameters. Correct version: def add(a, b): return a + b",gpt-4,0.2,87,4.8,coding,2026-06-06 09:30:42
49,"Write a closing line for a mystery story","As the door closed behind him, Sarah finally understood: the real mystery was never who did it, but why she had trusted him at all.",gemini-pro,0.9,145,4.3,creative,2026-06-06 10:15:27
50,"What is cross-validation?","Cross-validation is a technique to assess model performance by splitting data into multiple folds, training on some and testing on others to ensure generalization.",claude-3,0.4,198,4.7,analysis,2026-06-06 11:22:18
